trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
96,19.32,Summer tires,0,1,1,Normal,12.5,0,0,64.0,-4.3
81,6.86,Summer tires,0,1,0,Normal,13.3,0,0,79.0,-3.5
9,3.8,Summer tires,1,0,0,Normal,10.2,0,0,27.0,-6.6
85,13.03,Summer tires,0,1,1,Normal,12.5,0,0,62.0,-4.3
56,7.0,Summer tires,1,0,1,Normal,13.8,0,0,37.0,-3.0
104,13.2,Summer tires,0,1,0,Normal,13.3,0,0,57.0,-3.5
2,0.6,Summer tires,1,0,0,Normal,14.25,0,0,22.98351648351648,-2.55
85,11.8,Summer tires,0,1,0,Normal,14.5,0,0,70.0,-2.3
7,4.9,Summer tires,1,0,0,Moderate,14.1,0,0,17.0,-2.7
83,13.5,Summer tires,0,1,0,Moderate,13.9,0,1,62.0,-2.9
83,8.0,Summer tires,0,1,0,Moderate,13.2,0,1,64.0,-3.6
41,18.7,Summer tires,0,1,1,Normal,14.1,0,0,54.0,-2.7
45,3.32,Summer tires,0,1,0,Moderate,14.2,0,0,67.0,-2.6
81,3.8,Summer tires,0,1,0,Moderate,12.0,0,0,77.0,-4.8
81,16.23,Summer tires,0,1,0,Moderate,13.1,0,1,61.0,-3.7
82,10.0,Summer tires,0,1,0,Moderate,14.5,0,1,75.0,-2.3
80,15.57,Summer tires,0,1,0,Moderate,13.7,0,1,65.0,-3.1
82,9.4,Summer tires,0,1,0,Moderate,13.3,0,1,73.0,-3.5
6,3.83,Summer tires,0,1,1,Moderate,17.8,0,1,19.0,1.0
84,12.73,Summer tires,0,1,1,Moderate,13.9,0,1,57.0,-2.9
38,17.64,Summer tires,0,0,1,Moderate,15.9,0,1,53.0,-0.9
37,2.03,Summer tires,0,0,1,Moderate,13.8,0,1,51.0,-3.0
81,5.94,Summer tires,0,1,0,Moderate,13.5,0,1,72.0,-3.3
86,16.58,Summer tires,0,1,0,Moderate,14.7,0,1,63.0,-2.1
81,11.8,Summer tires,0,1,0,Moderate,13.6,0,1,69.0,-3.2
80,15.43,Summer tires,1,1,0,Moderate,14.2,0,1,51.0,-2.6
82,13.74,Summer tires,0,1,1,Moderate,13.2,0,1,68.0,-3.6
86,15.15,Summer tires,0,1,1,Moderate,12.8,0,1,64.0,-4.0
88,6.42,Summer tires,1,1,0,Moderate,12.8,0,1,49.0,-4.0
34,12.14,Summer tires,0,1,0,Moderate,14.2,0,1,66.0,-2.6
91,11.49,Summer tires,0,1,0,Moderate,14.1,0,0,76.0,-2.7
85,10.29,Summer tires,0,1,0,Normal,14.6,0,0,65.0,-2.2
2,7.23,Summer tires,1,0,0,Moderate,14.5,0,0,17.0,-2.3
2,5.7,Summer tires,1,0,0,Moderate,15.4,0,0,21.0,-1.4
1,0.69,Summer tires,1,0,0,Moderate,19.4,0,0,12.0,2.6
23,3.72,Summer tires,1,0,1,Moderate,13.5,0,0,48.0,-3.3
105,1.72,Summer tires,1,1,1,Moderate,12.6,0,0,51.0,-4.2
34,19.98,Summer tires,0,1,0,Moderate,11.2,0,0,70.0,-5.6
127,2.24,Summer tires,0,1,0,Moderate,11.8,0,0,66.0,-5.0
40,19.19,Summer tires,0,1,1,Moderate,11.7,0,0,51.0,-5.1
129,5.56,Summer tires,0,1,0,Moderate,12.8,0,0,78.0,-4.0
79,18.76,Summer tires,0,1,0,Moderate,12.7,0,1,65.0,-4.1
81,5.72,Summer tires,0,1,0,Moderate,12.4,0,1,73.0,-4.4
80,12.38,Summer tires,0,1,0,Moderate,12.7,0,1,73.0,-4.1
86,13.31,Summer tires,0,1,0,Moderate,13.4,0,1,60.0,-3.4
94,15.67,Summer tires,0,1,1,Moderate,12.0,0,1,67.0,-4.8
1,7.27,Summer tires,0,1,0,Moderate,14.2,0,0,22.0,-2.6
84,6.08,Summer tires,0,1,0,Moderate,13.1,0,0,79.0,-3.7
13,9.29,Summer tires,1,0,1,Normal,13.3,0,0,40.0,-3.5
85,6.06,Summer tires,0,1,0,Normal,14.2,0,1,80.0,-2.6
45,7.58,Summer tires,0,1,0,Moderate,12.3,0,0,45.0,-4.5
34,1.0,Summer tires,0,1,0,Moderate,12.9,0,0,59.0,-3.9
84,10.81,Summer tires,0,1,0,Moderate,12.4,0,0,65.0,-4.4
34,16.82,Summer tires,0,1,0,Moderate,12.0,0,1,34.0,-4.8
128,7.3,Summer tires,0,1,0,Moderate,12.6,0,0,68.0,-4.2
34,15.44,Summer tires,0,1,0,Moderate,11.3,0,0,69.0,-5.5
128,6.7,Summer tires,0,1,0,Moderate,12.3,0,0,76.0,-4.5
34,14.19,Summer tires,0,1,0,Moderate,12.0,0,1,47.0,-4.8
126,9.32,Summer tires,0,1,0,Moderate,13.0,0,0,75.0,-3.8
35,17.69,Summer tires,0,1,0,Moderate,12.0,1,1,57.0,-4.8
48,3.23,Summer tires,0,1,0,Moderate,14.1,1,1,77.0,-2.7
96,6.46,Summer tires,0,1,1,Moderate,12.7,1,1,67.0,-4.1
94,15.54,Summer tires,0,1,1,Moderate,13.3,1,1,72.0,-3.5
75,11.03,Summer tires,0,1,0,Moderate,13.0,1,1,60.0,-3.8
17,2.97,Summer tires,0,1,0,Fast,15.1,1,1,27.0,-1.7
81,14.22,Summer tires,0,1,0,Fast,12.4,0,0,77.0,-4.4
2,7.95,Summer tires,1,0,0,Fast,15.0,0,1,16.0,-1.8
34,7.27,Summer tires,0,1,0,Fast,12.0,0,0,71.0,-4.8
126,4.11,Summer tires,0,1,0,Fast,12.2,0,0,72.0,-4.6
34,17.94,Summer tires,0,1,0,Fast,13.2,0,0,58.0,-3.6
126,6.62,Summer tires,0,1,0,Fast,12.7,0,0,75.0,-4.1
4,10.8,Summer tires,1,0,0,Fast,15.9,0,0,19.0,-0.9
36,8.16,Summer tires,0,1,0,Moderate,14.7,0,0,34.0,-2.1
128,6.87,Summer tires,0,1,0,Moderate,13.5,0,0,72.0,-3.3
35,11.54,Summer tires,0,1,0,Moderate,11.6,0,0,56.0,-5.2
90,11.1,Summer tires,0,1,0,Moderate,12.4,0,0,81.0,-4.4
123,11.34,Summer tires,0,1,0,Moderate,12.6,0,0,73.0,-4.2
82,19.37,Summer tires,0,1,0,Moderate,14.2,0,0,80.0,-2.6
67,9.18,Summer tires,1,0,1,Moderate,12.7,0,0,54.0,-4.1
59,3.71,Summer tires,1,0,1,Moderate,13.0,0,0,51.0,-3.8
105,15.81,Summer tires,1,0,1,Moderate,12.6,0,0,50.0,-4.2
86,12.44,Summer tires,0,1,0,Moderate,13.3,0,0,71.0,-3.5
1,1.5,Summer tires,0,1,0,Moderate,14.55,0,0,64.94872262773723,-2.25
62,5.22,Summer tires,0,1,0,Moderate,14.0,0,0,55.0,-2.8
5,0.75,Summer tires,0,1,0,Moderate,15.0,0,0,64.94872262773724,-1.8
45,9.0,Summer tires,0,1,0,Moderate,12.6,0,0,45.0,-4.2
48,13.53,Summer tires,0,1,0,Moderate,15.4,0,0,68.0,-1.4
45,2.1,Summer tires,0,1,0,Moderate,17.7,0,0,97.0,0.9
36,15.31,Summer tires,0,1,0,Moderate,13.5,0,0,58.0,-3.3
34,4.3,Summer tires,0,1,0,Moderate,13.3,0,0,59.0,-3.5
129,5.89,Summer tires,0,1,0,Moderate,12.9,0,0,65.0,-3.9
40,10.2,Summer tires,1,1,0,Moderate,11.3,0,0,42.0,-5.5
44,11.81,Summer tires,0,1,0,Moderate,14.5,0,0,77.0,-2.3
84,10.53,Summer tires,0,1,0,Moderate,10.8,0,0,72.0,-6.0
64,2.65,Summer tires,0,1,0,Moderate,11.3,0,0,46.0,-5.5
47,13.51,Summer tires,0,1,0,Moderate,12.7,0,0,70.0,-4.1
46,1.55,Summer tires,0,1,0,Moderate,12.7,0,0,59.0,-4.1
83,8.35,Summer tires,0,1,0,Moderate,11.5,0,0,45.0,-5.3
46,8.76,Summer tires,0,1,0,Moderate,13.6,0,0,77.0,-3.2
91,6.53,Summer tires,0,0,1,Moderate,12.0,0,0,51.0,-4.8
95,16.27,Summer tires,0,1,1,Moderate,12.2,0,0,58.0,-4.6
69,8.5,Summer tires,0,1,1,Moderate,13.3,0,0,84.0,-3.5
12,11.68,Summer tires,1,0,1,Moderate,11.4,0,0,44.0,-5.4
76,2.34,Summer tires,0,1,1,Moderate,12.9,0,0,80.0,-3.9
119,10.26,Summer tires,0,1,1,Moderate,12.6,0,0,65.0,-4.2
33,8.91,Summer tires,0,0,1,Moderate,12.4,0,0,43.0,-4.4
36,2.91,Summer tires,0,0,1,Moderate,12.3,0,0,48.0,-4.5
18,2.64,Summer tires,0,0,1,Moderate,13.6,0,0,31.0,-3.2
47,6.53,Summer tires,0,0,1,Moderate,13.2,0,0,42.0,-3.6
14,1.62,Summer tires,0,0,1,Moderate,13.2,0,0,42.0,-3.6
11,2.43,Summer tires,0,0,1,Moderate,18.71,0,0,52.375,1.91
109,9.99,Summer tires,0,1,0,Moderate,12.2,0,0,51.0,-4.6
82,11.35,Summer tires,0,1,1,Moderate,11.6,0,0,62.0,-5.2
57,13.13,Summer tires,0,1,0,Moderate,13.3,0,0,69.0,-3.5
61,4.96,Summer tires,0,1,0,Moderate,12.8,0,0,69.0,-4.0
71,9.91,Summer tires,0,1,1,Moderate,12.3,0,0,66.0,-4.5
82,10.44,Summer tires,0,1,1,Moderate,13.0,0,0,85.0,-3.8
82,7.87,Summer tires,1,1,0,Moderate,11.6,1,0,42.0,-5.2
4,3.46,Summer tires,1,1,0,Moderate,13.1,1,0,15.0,-3.7
53,4.52,Summer tires,1,1,0,Moderate,12.1,1,0,47.0,-4.7
54,14.81,Summer tires,1,1,0,Moderate,11.8,0,0,53.0,-5.0
43,7.74,Summer tires,1,0,1,Moderate,13.6,0,0,36.0,-3.2
122,3.89,Summer tires,1,0,1,Moderate,10.7,0,0,47.0,-6.1
17,9.9,Summer tires,1,1,1,Normal,14.7,1,0,38.0,-2.1
58,3.94,Summer tires,0,1,1,Normal,13.7,1,0,57.38461538461539,-3.1
41,14.15,Summer tires,0,0,1,Normal,13.96,0,0,55.4375,-2.84
103,9.28,Summer tires,0,1,0,Normal,12.8,0,0,40.0,-4.0
97,9.96,Summer tires,0,1,0,Normal,14.3,0,0,59.0,-2.5
117,20.09,Summer tires,0,1,0,Normal,14.6,0,0,55.0,-2.2
120,15.5,Summer tires,0,0,1,Normal,12.6,0,1,61.0,-4.2
71,10.94,Summer tires,0,1,0,Normal,13.9,0,0,78.0,-2.9
73,14.0,Summer tires,0,1,0,Normal,14.1,0,0,80.0,-2.7
81,9.3,Summer tires,0,1,0,Normal,11.9,1,0,76.0,-4.9
112,11.57,Summer tires,0,1,0,Normal,11.7,1,0,80.0,-5.1
104,14.52,Summer tires,0,1,1,Normal,12.1,1,0,73.0,-4.7
76,12.34,Summer tires,0,1,0,Normal,12.6,1,0,67.0,-4.2
75,7.72,Summer tires,0,1,1,Normal,12.9,1,0,55.0,-3.9
76,10.5,Winter tires,1,1,1,Normal,13.8,1,0,46.0,-3.0
4,0.6,Winter tires,1,0,0,Moderate,14.8,0,0,21.0,-2.0
3,0.4,Winter tires,1,0,0,Moderate,13.7,0,0,22.0,-3.1
4,0.6,Winter tires,1,0,0,Moderate,15.4,0,0,22.0,-1.4
20,3.6,Winter tires,1,1,1,Moderate,18.0,0,0,44.0,1.2
24,2.5,Winter tires,1,0,1,Moderate,10.5,0,0,42.0,-6.3
20,1.9,Winter tires,1,1,1,Moderate,9.3,0,0,48.0,-7.5
20,3.6,Winter tires,1,1,1,Moderate,18.0,0,0,43.0,1.2
4,0.6,Winter tires,1,0,0,Moderate,14.4,0,0,22.0,-2.4
4,0.6,Winter tires,1,0,0,Moderate,14.9,0,0,24.0,-1.9
27,2.4,Winter tires,1,0,1,Moderate,8.9,0,0,29.0,-7.9
20,3.7,Winter tires,1,1,1,Moderate,18.6,0,0,45.0,1.8
20,3.7,Winter tires,1,1,1,Moderate,18.5,0,0,44.0,1.7
20,1.8,Winter tires,1,1,1,Moderate,8.8,0,0,44.0,-8.0
37,3.6,Winter tires,1,0,1,Moderate,9.8,0,0,45.0,-7.0
2,0.4,Winter tires,1,0,0,Moderate,19.0,1,0,11.0,2.2
20,3.5,Winter tires,1,1,1,Moderate,17.7,0,0,48.0,0.9
20,1.6,Winter tires,1,1,1,Moderate,7.8,0,0,47.0,-9.0
20,3.4,Winter tires,1,1,1,Moderate,17.0,0,0,40.0,0.2
22,1.9,Winter tires,1,0,1,Moderate,8.6,0,0,41.0,-8.2
20,3.4,Winter tires,1,1,1,Moderate,17.0,0,0,43.0,0.2
84,11.3,Winter tires,1,0,1,Moderate,13.4,0,0,66.0,-3.4
41,5.5,Winter tires,1,0,1,Moderate,13.4,0,0,48.0,-3.4
89,11.6,Winter tires,1,0,1,Moderate,13.0,0,0,73.0,-3.8
27,3.3,Winter tires,1,0,1,Moderate,12.3,0,0,51.0,-4.5
24,1.9,Winter tires,1,0,1,Moderate,8.0,0,0,36.0,-8.8
20,3.4,Winter tires,1,1,1,Moderate,17.1,0,0,49.0,0.3
5,0.4,Winter tires,1,0,0,Moderate,8.1,0,0,24.0,-8.7
16,1.6,Winter tires,1,0,0,Moderate,10.0,0,0,35.0,-6.8
20,3.5,Winter tires,1,1,1,Moderate,17.5,0,0,45.0,0.7
20,3.5,Winter tires,1,1,1,Moderate,17.4,0,0,41.0,0.6
20,1.6,Winter tires,1,1,1,Moderate,8.0,0,0,45.0,-8.8
29,2.5,Winter tires,1,0,1,Moderate,8.7,0,0,37.0,-8.1
20,3.4,Winter tires,1,1,1,Moderate,16.9,0,0,49.0,0.1
20,1.5,Winter tires,1,1,1,Moderate,7.7,0,0,45.0,-9.1
20,3.4,Winter tires,1,1,1,Moderate,17.1,0,0,51.0,0.3
11,1.4,Winter tires,1,0,0,Moderate,12.3,0,0,33.0,-4.5
16,2.0,Winter tires,1,0,0,Moderate,12.8,0,0,30.0,-4.0
5,1.1,Winter tires,1,0,0,Moderate,22.5,0,0,26.0,5.7
90,12.4,Winter tires,1,0,1,Moderate,13.8,0,0,49.0,-3.0
20,1.7,Winter tires,1,1,1,Moderate,8.6,0,0,44.0,-8.2
20,3.5,Winter tires,1,1,1,Moderate,17.6,0,0,50.0,0.8
9,1.2,Winter tires,1,0,0,Moderate,13.5,0,0,22.0,-3.3
24,2.1,Winter tires,1,0,1,Moderate,8.6,0,0,26.0,-8.2
20,3.5,Winter tires,1,1,1,Moderate,17.6,0,0,49.0,0.8
20,3.7,Winter tires,1,1,1,Moderate,18.5,0,0,50.0,1.7
20,1.8,Winter tires,1,1,1,Moderate,9.0,0,0,49.0,-7.8
20,1.8,Winter tires,1,1,1,Moderate,9.2,0,0,47.0,-7.6
20,3.5,Winter tires,1,1,1,Moderate,17.4,0,0,50.0,0.6
3,0.5,Winter tires,1,0,0,Moderate,15.0,0,0,25.0,-1.8
6,0.7,Winter tires,1,0,0,Moderate,12.0,0,0,22.0,-4.8
5,0.7,Winter tires,1,0,0,Moderate,14.5,0,0,22.0,-2.3
15,1.9,Winter tires,1,0,0,Moderate,12.8,0,0,24.0,-4.0
20,1.8,Winter tires,1,1,1,Moderate,9.0,0,0,46.0,-7.8
20,3.5,Winter tires,1,1,1,Moderate,17.5,0,0,49.0,0.7
20,3.5,Winter tires,1,1,1,Moderate,17.4,0,0,50.0,0.6
20,1.6,Winter tires,1,1,1,Moderate,8.0,0,0,46.0,-8.8
24,2.0,Winter tires,1,0,1,Moderate,8.5,0,0,35.0,-8.3
20,3.6,Winter tires,1,1,1,Moderate,17.8,0,0,46.0,1.0
22,2.2,Winter tires,1,0,1,Moderate,10.0,0,0,32.0,-6.8
20,3.6,Winter tires,1,1,1,Moderate,18.1,0,0,51.0,1.3
20,1.6,Winter tires,1,1,1,Moderate,8.0,0,0,49.0,-8.8
20,3.3,Winter tires,1,1,1,Moderate,16.6,0,0,48.0,-0.2
173,20.8,Winter tires,0,1,0,Moderate,12.0,0,0,69.0,-4.8
9,1.1,Winter tires,1,0,0,Moderate,12.3,0,0,23.0,-4.5
192,21.5,Winter tires,0,1,0,Moderate,11.2,0,0,59.0,-5.6
20,3.3,Winter tires,1,1,1,Moderate,16.6,0,0,47.0,-0.2
20,1.6,Winter tires,1,1,1,Moderate,8.0,0,0,50.0,-8.8
20,3.3,Winter tires,1,1,1,Moderate,16.5,0,0,48.0,-0.3
20,1.4,Winter tires,1,1,1,Moderate,6.9,0,0,49.0,-9.9
20,3.3,Winter tires,1,1,1,Moderate,16.4,0,0,47.0,-0.4
20,3.3,Winter tires,1,1,1,Moderate,16.7,0,0,44.0,-0.1
2,0.3,Winter tires,1,0,0,Moderate,14.6,0,0,24.0,-2.2
21,1.4,Winter tires,1,0,1,Moderate,6.7,0,0,40.0,-10.1
24,1.7,Winter tires,1,0,1,Moderate,7.2,0,0,37.0,-9.6
20,3.2,Winter tires,1,1,1,Moderate,16.2,0,0,46.0,-0.6
8,1.1,Winter tires,1,0,0,Moderate,13.7,0,0,27.0,-3.1
7,0.6,Winter tires,1,0,0,Moderate,9.0,0,0,33.0,-7.8
20,1.4,Winter tires,1,1,1,Moderate,7.2,0,0,43.0,-9.6
20,3.4,Winter tires,1,1,1,Moderate,16.9,0,0,51.0,0.1
20,1.4,Winter tires,1,1,1,Moderate,7.2,0,0,42.0,-9.6
20,3.5,Winter tires,1,1,1,Moderate,17.4,0,0,48.0,0.6
24,1.9,Winter tires,1,0,1,Moderate,8.0,0,0,42.0,-8.8
20,3.6,Winter tires,1,1,1,Moderate,17.9,0,0,47.0,1.1
20,1.6,Winter tires,1,1,1,Moderate,8.1,0,0,37.0,-8.7
20,3.4,Winter tires,1,1,1,Moderate,17.1,0,0,46.0,0.3
20,1.7,Winter tires,1,1,1,Moderate,8.5,0,0,44.0,-8.3
20,3.7,Winter tires,1,1,1,Moderate,18.3,0,0,53.0,1.5
22,3.0,Winter tires,1,0,1,Moderate,13.8,0,0,50.0,-3.0
26,3.4,Winter tires,1,0,1,Moderate,13.1,0,0,39.0,-3.7
192,22.8,Winter tires,0,1,0,Moderate,11.9,0,0,69.0,-4.9
162,18.0,Winter tires,0,1,0,Moderate,11.1,0,0,79.0,-5.7
24,2.0,Winter tires,1,0,1,Moderate,8.4,0,0,37.0,-8.4
20,3.5,Winter tires,1,1,1,Moderate,17.6,0,0,49.0,0.8
19,1.4,Summer tires,1,1,1,Moderate,7.5,0,0,50.0,-9.3
20,3.4,Summer tires,1,1,1,Moderate,17.2,0,0,50.0,0.4
13,1.6,Summer tires,1,0,0,Moderate,12.4,0,0,23.0,-4.4
163,20.4,Summer tires,0,1,0,Moderate,12.5,0,0,66.0,-4.3
51,7.1,Summer tires,1,0,1,Moderate,14.0,0,0,40.0,-2.8
71,8.6,Summer tires,1,0,1,Moderate,12.1,0,0,51.0,-4.7
62,7.1,Summer tires,1,0,1,Moderate,11.4,0,0,62.0,-5.4
17,2.5,Summer tires,1,0,0,Moderate,14.9,0,0,44.0,-1.9
36,4.9,Summer tires,1,0,1,Moderate,13.5,0,0,56.0,-3.3
42,6.0,Summer tires,1,0,1,Moderate,14.4,0,0,21.0,-2.4
6,0.8,Summer tires,1,0,0,Moderate,13.6,0,0,31.0,-3.2
3,0.4,Summer tires,1,0,0,Moderate,12.3,0,0,23.0,-4.5
4,0.6,Summer tires,1,0,0,Moderate,14.1,0,0,20.0,-2.7
230,27.8,Summer tires,0,1,0,Moderate,12.1,0,0,69.0,-4.7
63,6.9,Summer tires,1,0,1,Moderate,11.0,0,0,40.0,-5.8
20,3.7,Summer tires,1,1,1,Moderate,18.4,0,0,42.0,1.6
19,1.6,Summer tires,1,1,1,Moderate,8.3,0,0,51.0,-8.5
19,3.4,Summer tires,1,1,1,Moderate,17.8,0,0,51.0,1.0
10,1.5,Summer tires,1,0,0,Moderate,14.9,0,0,13.0,-1.9
2,0.3,Summer tires,1,0,0,Moderate,15.9,0,0,19.0,-0.9
4,0.5,Summer tires,1,0,0,Moderate,11.6,0,0,24.0,-5.2
4,0.5,Summer tires,1,0,0,Moderate,12.2,0,0,25.0,-4.6
19,1.4,Summer tires,1,1,1,Moderate,7.5,0,0,50.0,-9.3
20,3.5,Summer tires,1,1,1,Moderate,17.7,0,0,51.0,0.9
24,2.1,Summer tires,1,0,1,Moderate,8.9,0,0,33.0,-7.9
20,3.5,Summer tires,1,1,1,Moderate,17.5,0,0,41.0,0.7
19,1.4,Summer tires,1,1,1,Moderate,7.4,0,0,41.0,-9.4
20,3.4,Summer tires,1,1,1,Moderate,16.8,0,0,47.0,0.0
19,1.3,Summer tires,1,1,1,Moderate,6.8,0,0,54.0,-10.0
20,3.5,Summer tires,1,1,1,Moderate,17.5,0,0,50.0,0.7
24,1.8,Summer tires,1,0,1,Moderate,7.3,0,0,34.0,-9.5
20,3.3,Summer tires,1,1,1,Moderate,16.6,0,0,47.0,-0.2
178,20.8,Summer tires,0,1,0,Moderate,11.7,0,0,61.0,-5.1
82,9.3,Summer tires,1,0,1,Moderate,11.3,0,0,73.0,-5.5
14,1.6,Summer tires,1,0,0,Moderate,11.4,0,0,58.0,-5.4
14,2.0,Summer tires,1,0,0,Moderate,14.4,0,0,61.0,-2.4
264,30.1,Summer tires,0,1,0,Moderate,11.4,0,0,68.0,-5.4
14,1.7,Summer tires,1,0,0,Moderate,12.4,0,0,61.0,-4.4
24,2.2,Summer tires,1,0,1,Moderate,9.0,0,0,25.0,-7.8
20,3.7,Summer tires,1,1,1,Moderate,18.4,0,0,42.0,1.6
4,0.7,Summer tires,1,0,0,Moderate,16.8,0,0,8.0,0.0
20,1.6,Summer tires,1,1,1,Moderate,8.1,0,0,31.0,-8.7
20,3.3,Summer tires,1,1,1,Moderate,16.7,0,0,46.0,-0.1
19,1.4,Summer tires,1,1,1,Moderate,7.6,0,0,49.0,-9.2
19,3.2,Summer tires,1,1,1,Moderate,16.8,0,0,46.0,0.0
13,1.5,Summer tires,1,0,0,Moderate,11.8,0,0,23.0,-5.0
77,9.3,Summer tires,1,0,1,Moderate,12.1,0,0,52.0,-4.7
19,2.3,Summer tires,1,1,1,Moderate,12.0,0,0,32.0,-4.8
13,1.4,Summer tires,1,0,0,Moderate,10.8,0,0,22.0,-6.0
19,1.0,Summer tires,1,1,1,Moderate,5.4,0,0,46.0,-11.4
19,3.1,Summer tires,1,1,1,Moderate,16.2,0,0,51.0,-0.6
311,33.0,Summer tires,0,1,0,Moderate,10.6,0,0,77.0,-6.2
294,30.3,Summer tires,0,1,0,Moderate,10.3,0,0,55.0,-6.5
13,1.5,Summer tires,1,0,0,Moderate,11.2,0,0,46.0,-5.6
43,4.4,Summer tires,1,0,1,Moderate,10.2,0,0,37.0,-6.6
28,3.4,Summer tires,1,0,1,Moderate,12.0,0,0,48.0,-4.8
6,0.6,Summer tires,1,0,0,Moderate,9.3,0,0,23.0,-7.5
19,2.9,Summer tires,1,1,1,Moderate,15.0,0,0,47.0,-1.8
19,1.8,Summer tires,1,1,1,Moderate,9.3,0,0,51.0,-7.5
20,2.5,Summer tires,1,1,1,Moderate,12.3,0,0,32.0,-4.5
4,0.2,Summer tires,1,0,0,Moderate,5.8,0,0,28.0,-11.0
21,2.6,Summer tires,1,0,1,Moderate,12.4,0,0,21.0,-4.4
56,5.4,Summer tires,1,0,1,Moderate,9.6,0,0,46.0,-7.2
58,5.7,Summer tires,1,0,1,Moderate,9.9,0,0,31.0,-6.9
345,38.3,Summer tires,0,1,0,Moderate,11.1,0,0,61.0,-5.7
8,0.6,Summer tires,1,0,0,Moderate,7.3,0,0,24.0,-9.5
323,35.5,Summer tires,0,1,0,Moderate,11.0,0,0,76.0,-5.8
2,0.3,Summer tires,1,0,0,Moderate,14.2,0,0,20.0,-2.6
25,2.1,Summer tires,1,0,1,Moderate,8.5,0,0,34.0,-8.3
20,3.4,Summer tires,1,1,1,Moderate,17.0,0,0,47.0,0.2
19,1.8,Summer tires,1,1,1,Moderate,9.7,0,0,45.0,-7.1
20,3.4,Summer tires,1,1,1,Moderate,17.1,0,0,51.0,0.3
356,45.2,Summer tires,0,1,0,Moderate,12.7,0,0,71.0,-4.1
3,0.4,Summer tires,1,0,0,Moderate,12.7,0,0,26.0,-4.1
5,0.5,Summer tires,1,0,0,Moderate,10.1,0,0,21.0,-6.7
272,29.9,Summer tires,0,1,0,Moderate,11.0,0,0,72.0,-5.8
19,1.3,Summer tires,1,1,1,Moderate,6.6,0,0,48.0,-10.2
19,3.0,Summer tires,1,1,1,Moderate,15.9,0,0,49.0,-0.9
22,1.3,Summer tires,1,0,1,Moderate,5.9,0,0,41.0,-10.9
19,3.1,Summer tires,1,1,1,Moderate,16.4,0,0,53.0,-0.4
19,1.3,Summer tires,1,1,1,Moderate,6.7,0,0,24.0,-10.1
19,3.1,Summer tires,1,1,1,Moderate,16.5,0,0,42.0,-0.3
20,1.2,Summer tires,1,1,1,Moderate,6.0,0,0,46.0,-10.8
19,3.1,Summer tires,1,1,1,Moderate,16.1,0,0,50.0,-0.7
19,3.1,Summer tires,1,1,1,Moderate,16.1,0,0,47.0,-0.7
22,1.6,Summer tires,1,0,1,Moderate,7.3,0,0,43.0,-9.5
20,1.2,Summer tires,1,1,1,Moderate,6.1,0,0,49.0,-10.7
19,2.9,Summer tires,1,1,1,Moderate,15.0,0,0,49.0,-1.8
22,1.6,Summer tires,1,0,1,Moderate,7.2,0,0,42.0,-9.6
19,3.0,Summer tires,1,1,1,Moderate,15.9,0,0,53.0,-0.9
20,1.4,Summer tires,1,1,1,Moderate,7.2,0,0,46.0,-9.6
22,3.3,Summer tires,1,0,1,Moderate,15.2,0,0,46.0,-1.6
21,1.4,Summer tires,1,0,1,Moderate,6.8,0,0,46.0,-10.0
16,1.7,Summer tires,1,0,0,Moderate,10.4,0,0,29.0,-6.4
19,3.1,Summer tires,1,1,1,Moderate,16.3,0,0,49.0,-0.5
20,1.2,Summer tires,1,1,1,Moderate,6.1,0,0,47.0,-10.7
19,2.9,Summer tires,1,1,1,Moderate,15.3,0,0,53.0,-1.5
83,10.0,Summer tires,1,0,1,Moderate,12.0,0,0,71.0,-4.8
84,10.6,Summer tires,1,0,1,Moderate,12.6,0,0,69.0,-4.2
30,3.2,Summer tires,1,0,1,Moderate,10.8,0,0,38.0,-6.0
19,1.4,Summer tires,1,1,1,Moderate,7.3,0,0,52.0,-9.5
19,3.0,Summer tires,1,1,1,Moderate,16.0,0,0,52.0,-0.8
19,1.4,Summer tires,1,1,1,Moderate,7.2,0,0,50.0,-9.6
19,3.1,Summer tires,1,1,1,Moderate,16.1,0,0,48.0,-0.7
29,2.2,Summer tires,1,0,1,Moderate,7.7,0,0,31.0,-9.1
19,3.0,Summer tires,1,1,1,Moderate,15.6,0,0,47.0,-1.2
1,0.1,Summer tires,1,0,0,Moderate,14.2,0,0,15.0,-2.6
21,1.5,Summer tires,1,0,1,Moderate,7.0,0,0,52.0,-9.8
4,0.4,Summer tires,1,0,0,Moderate,10.9,0,0,25.0,-5.9
19,3.1,Summer tires,1,1,1,Moderate,16.1,0,0,47.0,-0.7
24,1.8,Summer tires,1,0,1,Moderate,7.3,0,0,38.0,-9.5
20,3.3,Summer tires,1,1,1,Moderate,16.5,0,0,48.0,-0.3
22,1.3,Summer tires,1,0,1,Moderate,6.1,0,0,38.0,-10.7
20,3.3,Summer tires,1,1,1,Moderate,16.7,0,0,56.0,-0.1
19,1.4,Summer tires,1,1,1,Moderate,7.2,0,0,52.0,-9.6
20,3.2,Summer tires,1,1,1,Moderate,16.2,0,0,49.0,-0.6
22,1.5,Summer tires,1,0,1,Moderate,6.8,0,0,43.0,-10.0
1,0.1,Summer tires,1,0,0,Moderate,10.1,0,0,21.0,-6.7
