trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
117,11.16,0,1,1,11.8,0,0,63.0,-5.0,1.0,0
102,14.82,1,0,1,12.3,0,0,50.0,-4.5,1.0,0
37,1.9,0,0,1,11.3,0,0,49.0,-5.5,1.0,0
115,12.08,0,1,0,12.9,0,0,58.0,-3.9,1.0,0
85,11.9,0,1,0,11.8,0,0,78.0,-5.0,1.0,0
86,11.53,0,1,0,12.2,0,0,65.0,-4.6,1.0,0
85,11.16,0,1,0,11.5,0,0,75.0,-5.3,1.0,0
86,13.02,0,1,0,13.1,0,0,64.0,-3.7,1.0,0
86,11.53,0,1,0,13.0,0,0,67.0,-3.8,1.0,0
97,10.42,1,1,0,14.5,0,0,54.0,-2.3,0.0,0
86,12.4,0,1,0,12.9,0,0,72.0,-3.9,1.0,0
86,10.04,0,1,0,13.2,0,0,76.0,-3.6,1.0,0
87,11.44,0,1,0,11.8,0,0,66.0,-5.0,1.0,0
40,15.07,0,1,0,12.3,0,0,52.0,-4.5,1.0,0
92,0.74,0,1,0,11.9,0,0,64.0,-4.9,1.0,0
87,14.69,0,1,0,11.9,0,0,76.0,-4.9,1.0,0
89,4.84,0,1,0,11.7,0,0,62.0,-5.1,1.0,0
86,11.67,0,1,0,12.0,0,0,76.0,-4.8,1.0,0
86,11.35,0,1,0,13.7,0,0,74.0,-3.1,2.0,0
86,14.51,0,1,0,11.2,0,0,73.0,-5.6,1.0,0
115,8.0,0,1,0,12.0,0,0,69.0,-4.8,1.0,0
86,12.84,0,1,0,11.2,0,0,73.0,-5.6,1.0,0
87,7.26,0,1,0,12.3,0,0,75.0,-4.5,1.0,0
87,14.4,0,1,0,12.8,0,0,68.0,-4.0,1.0,0
86,10.67,0,0,1,12.2,0,0,49.0,-4.6,1.0,0
78,9.35,0,0,1,12.8,0,0,54.0,-4.0,1.0,0
113,12.49,0,1,1,12.3,0,0,67.0,-4.5,1.0,0
106,13.7,0,1,1,12.4,0,0,79.0,-4.4,1.0,0
118,13.85,0,1,1,13.3,0,0,71.0,-3.5,1.0,0
79,9.24,0,0,1,11.7,1,0,51.0,-5.1,1.0,0
29,3.42,0,0,1,11.8,0,0,42.0,-5.0,1.0,0
76,13.43,0,0,1,12.4,0,0,64.0,-4.4,1.0,0
1,5.4,1,0,0,8.0,0,0,17.0,-8.8,1.0,0
110,3.61,0,0,1,11.8,0,0,50.0,-5.0,1.0,0
103,12.46,0,0,1,12.1,0,0,55.0,-4.7,1.0,0
31,3.88,0,0,1,12.5,0,0,42.0,-4.3,1.0,0
97,13.48,0,0,1,13.9,0,0,63.0,-2.9,1.0,0
40,16.5,0,1,0,16.3,0,0,85.0,-0.5,0.0,0
77,3.87,0,1,0,14.2,0,0,65.0,-2.6,1.0,0
72,13.33,0,1,0,14.0,0,0,75.0,-2.8,1.0,0
83,6.51,0,1,1,13.3,0,0,71.0,-3.5,1.0,0
136,15.74,1,0,1,11.5,0,0,49.0,-5.3,1.0,0
89,16.74,0,1,0,13.5,0,0,59.0,-3.3,1.0,0
3,4.55,1,0,0,10.2,0,0,30.0,-6.6,1.0,0
88,1.67,0,1,0,12.2,0,0,62.0,-4.6,1.0,0
86,9.03,0,1,0,10.5,0,0,69.0,-6.3,1.0,0
87,13.78,1,1,0,12.6,0,0,80.0,-4.2,1.0,0
74,8.93,1,1,0,12.7,0,0,58.0,-4.1,1.0,0
28,0.96,1,1,0,11.7,0,0,51.0,-5.1,1.0,0
85,14.51,0,1,0,12.2,0,0,75.0,-4.6,1.0,0
88,5.77,0,1,0,11.3,0,0,73.0,-5.5,1.0,0
86,10.06,0,1,0,11.7,0,0,68.0,-5.1,1.0,0
77,12.72,0,0,1,12.8,0,0,77.0,-4.0,1.0,0
112,11.25,0,0,1,12.6,0,0,53.0,-4.2,1.0,0
2,5.59,0,1,0,9.8,0,0,21.0,-7.0,1.0,0
86,7.44,0,1,0,11.1,0,0,68.0,-5.7,1.0,0
86,10.04,0,1,0,12.1,0,0,64.0,-4.7,1.0,0
85,11.35,0,1,0,11.2,0,0,70.0,-5.6,1.0,0
89,9.3,0,1,0,12.7,0,0,72.0,-4.1,1.0,0
86,8.0,0,1,0,12.5,0,0,77.0,-4.3,1.0,0
89,12.59,0,1,0,12.3,0,0,77.0,-4.5,1.0,0
86,10.23,0,1,0,12.5,0,0,78.0,-4.3,1.0,0
85,12.28,0,1,0,11.7,0,0,72.0,-5.1,1.0,0
87,7.44,0,1,0,11.6,0,0,70.0,-5.2,1.0,0
85,12.09,0,1,0,11.5,0,0,76.0,-5.3,1.0,0
86,7.63,0,1,1,13.5,0,0,45.0,-3.3,1.0,0
46,5.8,1,1,0,12.6,0,0,39.0,-4.2,1.0,0
129,14.19,0,1,1,11.0,0,0,63.0,-5.8,1.0,0
86,10.41,0,1,0,12.1,0,0,71.0,-4.7,1.0,0
86,9.55,0,1,0,11.1,0,0,72.0,-5.7,1.0,0
86,10.66,0,1,0,12.4,0,0,55.0,-4.4,1.0,0
86,10.15,0,1,0,11.8,0,0,76.0,-5.0,1.0,0
85,13.82,0,1,0,11.7,0,0,67.0,-5.1,1.0,0
86,6.88,0,1,0,12.5,0,0,71.0,-4.3,1.0,0
87,10.27,0,1,0,11.8,0,0,66.0,-5.0,1.0,0
24,6.88,0,1,0,13.0,0,0,48.0,-3.8,1.0,0
23,1.0,0,1,0,13.5,1,0,42.0,-3.3,1.0,0
2,0.56,1,0,0,13.2,1,0,15.0,-3.6,1.0,0
86,10.23,0,1,0,12.4,1,0,61.0,-4.4,1.0,0
85,8.56,0,1,0,10.7,0,0,68.0,-6.1,1.0,0
129,16.66,0,1,0,11.8,1,0,61.0,-5.0,1.0,0
85,13.02,0,1,0,11.7,0,0,73.0,-5.1,1.0,0
17,8.18,0,1,0,12.7,0,0,61.0,-4.1,1.0,0
18,0.9,0,1,0,12.5,0,0,66.0,-4.3,1.0,0
86,2.98,0,1,0,12.8,0,0,73.0,-4.0,1.0,0
86,15.06,0,1,0,11.1,0,0,72.0,-5.7,1.0,0
88,6.14,0,1,0,11.8,0,0,72.0,-5.0,1.0,0
86,14.69,0,1,0,11.2,0,0,67.0,-5.6,1.0,0
